Sport Name,Category,Origin,Popularity Level,Key Rules/Description,Equipment Needed
Bodybuilding,Individual Sport,USA,Very High,Bodybuilding is a individual sport that originated from USA.,Bodybuilding Equipment
Ice Skating,Team Sport,England,Medium,Ice Skating is a team sport that originated from England.,Ice Skating Equipment
Karate,Individual Sport,Australia,Very High,Karate is a individual sport that originated from Australia.,Karate Equipment
Powerlifting,Individual Sport,France,Very High,Powerlifting is a individual sport that originated from France.,Powerlifting Equipment
Handball,Combat Sport,Japan,Very High,Handball is a combat sport that originated from Japan.,Handball Equipment
Table Tennis,Team Sport,Japan,Medium,Table Tennis is a team sport that originated from Japan.,Table Tennis Equipment
Cricket,Individual Sport,China,High,Cricket is a individual sport that originated from China.,Cricket Equipment
Boxing,Water Sport,Australia,Medium,Boxing is a water sport that originated from Australia.,Boxing Equipment
Archery,Combat Sport,Brazil,Low,Archery is a combat sport that originated from Brazil.,Archery Equipment
Boxing,Individual Sport,China,Low,Boxing is a individual sport that originated from China.,Boxing Equipment
Fencing,Team Sport,Japan,Low,Fencing is a team sport that originated from Japan.,Fencing Equipment
Boxing,Racket Sport,Greece,Very High,Boxing is a racket sport that originated from Greece.,Boxing Equipment
Skateboarding,Individual Sport,USA,Medium,Skateboarding is a individual sport that originated from USA.,Skateboarding Equipment
Track and Field,Racket Sport,Greece,Medium,Track and Field is a racket sport that originated from Greece.,Track and Field Equipment
Track and Field,Individual Sport,France,Low,Track and Field is a individual sport that originated from France.,Track and Field Equipment
Surfing,Individual Sport,France,High,Surfing is a individual sport that originated from France.,Surfing Equipment
Cycling,Racket Sport,Australia,Very High,Cycling is a racket sport that originated from Australia.,Cycling Equipment
Ice Skating,Water Sport,Brazil,Medium,Ice Skating is a water sport that originated from Brazil.,Ice Skating Equipment
Rowing,Racket Sport,USA,Low,Rowing is a racket sport that originated from USA.,Rowing Equipment
Skiing,Extreme Sport,India,Very High,Skiing is a extreme sport that originated from India.,Skiing Equipment
Baseball,Racket Sport,Japan,High,Baseball is a racket sport that originated from Japan.,Baseball Equipment
Tennis,Combat Sport,India,Medium,Tennis is a combat sport that originated from India.,Tennis Equipment
Volleyball,Extreme Sport,USA,Low,Volleyball is a extreme sport that originated from USA.,Volleyball Equipment
Snowboarding,Extreme Sport,USA,Very High,Snowboarding is a extreme sport that originated from USA.,Snowboarding Equipment
Table Tennis,Combat Sport,Germany,High,Table Tennis is a combat sport that originated from Germany.,Table Tennis Equipment
Soccer,Racket Sport,Japan,Very High,Soccer is a racket sport that originated from Japan.,Soccer Equipment
Table Tennis,Individual Sport,USA,Low,Table Tennis is a individual sport that originated from USA.,Table Tennis Equipment
Rugby,Team Sport,Australia,High,Rugby is a team sport that originated from Australia.,Rugby Equipment
Fencing,Combat Sport,Germany,Medium,Fencing is a combat sport that originated from Germany.,Fencing Equipment
Horse Riding,Racket Sport,Germany,Very High,Horse Riding is a racket sport that originated from Germany.,Horse Riding Equipment
Cricket,Combat Sport,China,Very High,Cricket is a combat sport that originated from China.,Cricket Equipment
Diving,Team Sport,Australia,Very High,Diving is a team sport that originated from Australia.,Diving Equipment
Canoeing,Team Sport,France,Very High,Canoeing is a team sport that originated from France.,Canoeing Equipment
Tennis,Individual Sport,Greece,Low,Tennis is a individual sport that originated from Greece.,Tennis Equipment
Martial Arts,Individual Sport,Greece,Low,Martial Arts is a individual sport that originated from Greece.,Martial Arts Equipment
Tennis,Water Sport,Brazil,Medium,Tennis is a water sport that originated from Brazil.,Tennis Equipment
Rowing,Extreme Sport,Japan,Very High,Rowing is a extreme sport that originated from Japan.,Rowing Equipment
Karate,Individual Sport,India,Very High,Karate is a individual sport that originated from India.,Karate Equipment
Powerlifting,Extreme Sport,Brazil,Low,Powerlifting is a extreme sport that originated from Brazil.,Powerlifting Equipment
Baseball,Individual Sport,China,High,Baseball is a individual sport that originated from China.,Baseball Equipment
Rowing,Extreme Sport,England,Low,Rowing is a extreme sport that originated from England.,Rowing Equipment
Karate,Individual Sport,Brazil,High,Karate is a individual sport that originated from Brazil.,Karate Equipment
Martial Arts,Individual Sport,Australia,High,Martial Arts is a individual sport that originated from Australia.,Martial Arts Equipment
Baseball,Extreme Sport,Japan,Medium,Baseball is a extreme sport that originated from Japan.,Baseball Equipment
Bodybuilding,Racket Sport,Australia,High,Bodybuilding is a racket sport that originated from Australia.,Bodybuilding Equipment
Judo,Combat Sport,India,Low,Judo is a combat sport that originated from India.,Judo Equipment
Powerlifting,Extreme Sport,France,Medium,Powerlifting is a extreme sport that originated from France.,Powerlifting Equipment
Snowboarding,Water Sport,Japan,Medium,Snowboarding is a water sport that originated from Japan.,Snowboarding Equipment
Surfing,Team Sport,USA,Medium,Surfing is a team sport that originated from USA.,Surfing Equipment
Diving,Combat Sport,Germany,Low,Diving is a combat sport that originated from Germany.,Diving Equipment
Weightlifting,Team Sport,China,Low,Weightlifting is a team sport that originated from China.,Weightlifting Equipment
Lacrosse,Team Sport,Australia,Medium,Lacrosse is a team sport that originated from Australia.,Lacrosse Equipment
Swimming,Extreme Sport,Japan,Low,Swimming is a extreme sport that originated from Japan.,Swimming Equipment
Diving,Water Sport,Greece,Very High,Diving is a water sport that originated from Greece.,Diving Equipment
Volleyball,Team Sport,Germany,Very High,Volleyball is a team sport that originated from Germany.,Volleyball Equipment
Skateboarding,Combat Sport,Brazil,Medium,Skateboarding is a combat sport that originated from Brazil.,Skateboarding Equipment
Martial Arts,Racket Sport,Japan,Low,Martial Arts is a racket sport that originated from Japan.,Martial Arts Equipment
Soccer,Team Sport,Japan,Very High,Soccer is a team sport that originated from Japan.,Soccer Equipment
Baseball,Team Sport,Brazil,High,Baseball is a team sport that originated from Brazil.,Baseball Equipment
Fencing,Water Sport,England,Very High,Fencing is a water sport that originated from England.,Fencing Equipment
Hockey,Team Sport,Brazil,Medium,Hockey is a team sport that originated from Brazil.,Hockey Equipment
Horse Riding,Extreme Sport,England,Medium,Horse Riding is a extreme sport that originated from England.,Horse Riding Equipment
Bowling,Team Sport,Japan,Medium,Bowling is a team sport that originated from Japan.,Bowling Equipment
Track and Field,Extreme Sport,China,Medium,Track and Field is a extreme sport that originated from China.,Track and Field Equipment
Snooker,Extreme Sport,Germany,High,Snooker is a extreme sport that originated from Germany.,Snooker Equipment
Hockey,Individual Sport,Germany,Low,Hockey is a individual sport that originated from Germany.,Hockey Equipment
Lacrosse,Extreme Sport,Greece,Very High,Lacrosse is a extreme sport that originated from Greece.,Lacrosse Equipment
Tennis,Combat Sport,Germany,Very High,Tennis is a combat sport that originated from Germany.,Tennis Equipment
Powerlifting,Individual Sport,India,Low,Powerlifting is a individual sport that originated from India.,Powerlifting Equipment
Table Tennis,Extreme Sport,India,Very High,Table Tennis is a extreme sport that originated from India.,Table Tennis Equipment
Golf,Water Sport,France,High,Golf is a water sport that originated from France.,Golf Equipment
Snowboarding,Water Sport,Japan,Low,Snowboarding is a water sport that originated from Japan.,Snowboarding Equipment
Wrestling,Team Sport,USA,Low,Wrestling is a team sport that originated from USA.,Wrestling Equipment
Boxing,Water Sport,England,Medium,Boxing is a water sport that originated from England.,Boxing Equipment
Rugby,Individual Sport,India,Low,Rugby is a individual sport that originated from India.,Rugby Equipment
Fencing,Individual Sport,Germany,Very High,Fencing is a individual sport that originated from Germany.,Fencing Equipment
Fencing,Individual Sport,Japan,Medium,Fencing is a individual sport that originated from Japan.,Fencing Equipment
Hockey,Water Sport,Japan,Very High,Hockey is a water sport that originated from Japan.,Hockey Equipment
Basketball,Water Sport,Australia,High,Basketball is a water sport that originated from Australia.,Basketball Equipment
Golf,Extreme Sport,England,Very High,Golf is a extreme sport that originated from England.,Golf Equipment
Baseball,Extreme Sport,USA,Very High,Baseball is a extreme sport that originated from USA.,Baseball Equipment
Snowboarding,Combat Sport,England,Very High,Snowboarding is a combat sport that originated from England.,Snowboarding Equipment
Track and Field,Extreme Sport,Australia,Low,Track and Field is a extreme sport that originated from Australia.,Track and Field Equipment
Hockey,Extreme Sport,USA,Medium,Hockey is a extreme sport that originated from USA.,Hockey Equipment
Rowing,Individual Sport,France,Medium,Rowing is a individual sport that originated from France.,Rowing Equipment
Boxing,Combat Sport,Japan,Medium,Boxing is a combat sport that originated from Japan.,Boxing Equipment
Golf,Racket Sport,Germany,Medium,Golf is a racket sport that originated from Germany.,Golf Equipment
Judo,Individual Sport,Japan,Medium,Judo is a individual sport that originated from Japan.,Judo Equipment
Hockey,Extreme Sport,England,Very High,Hockey is a extreme sport that originated from England.,Hockey Equipment
Skiing,Team Sport,USA,Very High,Skiing is a team sport that originated from USA.,Skiing Equipment
Baseball,Racket Sport,Brazil,Medium,Baseball is a racket sport that originated from Brazil.,Baseball Equipment
Skateboarding,Individual Sport,Brazil,Very High,Skateboarding is a individual sport that originated from Brazil.,Skateboarding Equipment
Martial Arts,Extreme Sport,China,Very High,Martial Arts is a extreme sport that originated from China.,Martial Arts Equipment
Basketball,Extreme Sport,Brazil,High,Basketball is a extreme sport that originated from Brazil.,Basketball Equipment
Ice Skating,Water Sport,Greece,High,Ice Skating is a water sport that originated from Greece.,Ice Skating Equipment
Archery,Extreme Sport,China,Medium,Archery is a extreme sport that originated from China.,Archery Equipment
Rugby,Individual Sport,Brazil,Very High,Rugby is a individual sport that originated from Brazil.,Rugby Equipment
Cricket,Team Sport,Brazil,Medium,Cricket is a team sport that originated from Brazil.,Cricket Equipment
Rugby,Racket Sport,England,Low,Rugby is a racket sport that originated from England.,Rugby Equipment
Cycling,Individual Sport,Brazil,Low,Cycling is a individual sport that originated from Brazil.,Cycling Equipment
